Unb;Mapa;Veiculo;Armazem;Nome Armazem;Cliente;Nome;Endereco;Bairro;Cidade;Cd.Vdr;Pedido;Tipo Mov;Peso Bruto;Hr.Min;Hr.Max;Situacao;
0001;   101;         ;  ;                    ;       16382;BAR AVENIDA         ;AV  PRINCESA ISABEL               2668  ;BARRA VELHA         ;ILHABELA            ;  101;504994;VENDA      ;     73,40;00:00;00:00;                 
0001;   101;         ;  ;                    ;       17474;ALASKA PESCADOS     ;AV  AVENIDA JOSE PACHECO DO NASCIM7870  ;CENTRO              ;ILHABELA            ;  101;504995;VENDA      ;     74,91;00:00;00:00;                 
0001;   101;         ;  ;                    ;       17474;ALASKA PESCADOS     ;AV  AVENIDA JOSE PACHECO DO NASCIM7870  ;CENTRO              ;ILHABELA            ;  101;504998;BONIFICACAO;     94,77;00:00;00:00;                 
0001;   101;         ;  ;                    ;       18500;MERCEARIA ILHAMAR   ;R   DO ZABUMBA                    391   ;ZABUMBA             ;ILHABELA            ;  101;505001;VENDA      ;    121,05;00:00;00:00;                 
0001;   101;         ;  ;                    ;       18553;TAMARA CHAVES       ;R   CHICO GRAVI DOS SANTOS        70    ;REINO               ;ILHABELA            ;  101;505005;VENDA      ;     42,84;00:00;00:00;                 
0001;   101;         ;  ;                    ;       18572;CARNES VITORIA ILHA ;R   DAS JACAS                     8     ;PEREQUE             ;ILHABELA            ;  101;505009;VENDA      ;    510,75;00:00;00:00;                 
0001;   101;         ;  ;                    ;       18572;CARNES VITORIA ILHA ;R   DAS JACAS                     8     ;PEREQUE             ;ILHABELA            ;  101;505012;BONIFICACAO;     88,55;00:00;00:00;                 
0001;   101;         ;  ;                    ;       18656;HOTEL BARRA DO PIUV ;AV  BRASIL                        1120  ;BARRA VELHA         ;ILHABELA            ;  101;505303;VENDA      ;    275,50;00:00;00:00;                 
0001;   104;         ;  ;                    ;          54;QUIOSQUE DO EDU     ;AV  PREF.GERALDO NOGUEIRA DA SILVA43    ;INDAIA              ;CARAGUATATUBA       ;  104;505149;VENDA      ;    111,23;00:00;00:00;                 
0001;   104;         ;  ;                    ;          54;QUIOSQUE DO EDU     ;AV  PREF.GERALDO NOGUEIRA DA SILVA43    ;INDAIA              ;CARAGUATATUBA       ;  104;505150;BONIFICACAO;     16,47;00:00;00:00;                 
0001;   104;         ;  ;                    ;         247;BAR E MERC RENASCER ;R   RODRIGUES ALVES               200   ;INDAIA              ;CARAGUATATUBA       ;  104;504996;VENDA      ;    120,80;00:00;00:00;                 
0001;   104;         ;  ;                    ;        5658;ANA BAR MINI        ;AV  ETHEL CINTIA DE MEDEIROS      490   ;RIO CLARO           ;CARAGUATATUBA       ;  104;505313;VENDA      ;    377,98;00:00;00:00;                 
0001;   104;         ;  ;                    ;       10217;ESPET. BOM DE BOCA  ;R   CASIMIRO JOSE MARQUES DE ABREU32    ;MORRO DO ALGODAO    ;CARAGUATATUBA       ;  104;505246;VENDA      ;     61,19;00:00;00:00;                 
