Unb;Mapa;Veiculo;Armazem;Nome Armazem;Cliente;Nome;Endereco;Bairro;Cidade;Cd.Vdr;Pedido;Tipo Mov;Peso Bruto;Hr.Min;Hr.Max;Situacao;
0001;   110;         ;  ;                    ;       19185;FAMILIA RESTAURANTE ;AV  DOUTOR ALTINO ARANTES         52/58 ;CENTRO              ;SAO SEBASTIAO       ;  110;505295;VENDA      ;    232,81;00:00;00:00;                 
0001;   110;         ;  ;                    ;       19589;BEACH BAR           ;R   BETIM                         319   ;PAUBA               ;SAO SEBASTIAO       ;  110;505245;VENDA      ;    158,99;00:00;00:00;                 
0001;   201;         ;  ;                    ;         685;POSTO PEROLA UBATUBA;PC  13 DE MAIO                    71    ;CENTRO              ;UBATUBA             ;  201;505035;VENDA      ;     47,15;00:00;00:00;                 
0001;   201;         ;  ;                    ;         685;POSTO PEROLA UBATUBA;PC  13 DE MAIO                    71    ;CENTRO              ;UBATUBA             ;  201;505036;BONIFICACAO;     36,55;00:00;00:00;                 
0001;   201;         ;  ;                    ;         994;BAR E REST MAR AZUL ;R   GOV ABREU SODRE               177   ;PEREQUE ACU         ;UBATUBA             ;  201;505197;VENDA      ;     86,68;00:00;00:00;                 
0001;   201;         ;  ;                    ;         994;BAR E REST MAR AZUL ;R   GOV ABREU SODRE               177   ;PEREQUE ACU         ;UBATUBA             ;  201;505369;VENDA      ;     22,45;00:00;00:00;                 
0001;   201;         ;  ;                    ;        6329;S5 - QUIOSQUE ESTREL;R   GOVERNADOR ABREU SODRE        474   ;PEREQUE ACU         ;UBATUBA             ;  201;505356;VENDA      ;    141,40;00:00;00:00;                 
0001;   201;         ;  ;                    ;        6329;S5 - QUIOSQUE ESTREL;R   GOVERNADOR ABREU SODRE        474   ;PEREQUE ACU         ;UBATUBA             ;  201;505357;BONIFICACAO;      1,67;00:00;00:00;                 
0001;   201;         ;  ;                    ;        6868;QUADRA BOLA SHOW    ;R   BR 101                        510   ;CENTRO              ;UBATUBA             ;  201;505344;VENDA      ;    537,46;00:00;00:00;                 
0001;   201;         ;  ;                    ;        7102;QUIOSQUE DO SASSA   ;AV  GOVERNADOR ABREU SODRE        146   ;PEREQUE ACU         ;UBATUBA             ;  201;505206;VENDA      ;    386,91;00:00;00:00;                 
0001;   201;         ;  ;                    ;        7853;INTEGRALE           ;R   DR ESTEVES DA SILVA           360   ;CENTRO              ;UBATUBA             ;  201;505037;VENDA      ;     33,65;00:00;00:00;                 
0001;   201;         ;  ;                    ;        9069;QUIOSQUE ATALAIA    ;R   GOVERNADOR ABREU SODRE        1098  ;PEREQUE             ;UBATUBA             ;  201;505348;VENDA      ;    104,62;00:00;00:00;                 
0001;   201;         ;  ;                    ;        9866;MAURO MOREIRA       ;R   BALTAZAR FORTES               4     ;CENTRO              ;UBATUBA             ;  201;505121;VENDA      ;    224,18;00:00;00:00;                 
0001;   201;         ;  ;                    ;       11516;S5 - QUIOSQUE BICHO ;R   GOVERNADOR ABREU SODRE        12    ;PEREQUE ACU         ;UBATUBA             ;  201;505166;VENDA      ;     91,17;00:00;00:00;                 
0001;   201;         ;  ;                    ;       16044;ESPETO 1            ;R   MARANHAO                      220   ;CENTRO              ;UBATUBA             ;  201;505257;VENDA      ;     95,40;00:00;00:00;                 
0001;   201;         ;  ;                    ;       16196;ADEGA 1000 GRAU     ;R   MADAME JANINA                 77    ;PEREQUE ACU         ;UBATUBA             ;  201;505352;VENDA      ;    112,32;00:00;00:00;                 
0001;   201;         ;  ;                    ;       16286;ADEGA PRINCIPAL     ;R   PADRE MANOEL DA NOBREGA       2029  ;CENTRO              ;UBATUBA             ;  201;505198;VENDA      ;    179,05;00:00;00:00;                 
0001;   201;         ;  ;                    ;       17184;FARMACIA REDE NOVA  ;R   GUARANI                       345   ;ITAGUA              ;UBATUBA             ;  201;505038;VENDA      ;    138,88;00:00;00:00;                 
0001;   201;         ;  ;                    ;       18757;BRUNO MANTOVANI     ;R   MADAME JANINA                 17    ;PEREQUE ACU         ;UBATUBA             ;  201;505334;VENDA      ;    105,50;00:00;00:00;                 
0001;   201;         ;  ;                    ;       19258;35.825.202 PAULA DA ;R   Josias Ramos Nogueira         34    ;JARDIM UBATUBA      ;UBATUBA             ;  201;505039;VENDA      ;     53,12;00:00;00:00;                 
0001;   201;         ;  ;                    ;       19671;RESTAURANTE DODIS PE;R   Rua Padre Manoel da Nobrega   274   ;PEREQUE-ACU         ;UBATUBA             ;  201;505371;VENDA      ;     40,91;00:00;00:00;                 
0001;   201;         ;  ;                    ;       58607;BAR NAKAMURA        ;R   BALTAZAR FORTES               12    ;CENTRO              ;UBATUBA             ;  201;505123;VENDA      ;    287,32;00:00;00:00;                 
0001;   201;         ;  ;                    ;       59026;BEN TEN             ;R   DOUTOR FELIX GUISARD FILHO    60    ;CENTRO              ;UBATUBA             ;  201;505226;VENDA      ;     52,06;00:00;00:00;                 
0001;   202;         ;  ;                    ;         486;PASTELARIA ASSAHI   ;R   MARGINAL                      169   ;PRAIA GRANDE        ;UBATUBA             ;  202;505278;VENDA      ;     21,18;00:00;00:00;                 
0001;   202;         ;  ;                    ;         486;PASTELARIA ASSAHI   ;R   MARGINAL                      169   ;PRAIA GRANDE        ;UBATUBA             ;  202;505292;VENDA      ;      6,36;00:00;00:00;                 
0001;   202;         ;  ;                    ;         492;PILEKINHOS          ;AV  ARMANDO B. PEREIRA            125   ;PRAIA GRANDE        ;UBATUBA             ;  202;505209;VENDA      ;    234,15;00:00;00:00;                 
0001;   202;         ;  ;                    ;         624;S5 - PONTO DE ENCONT;R   CONSTANTE LUCIO DE SOUZA      151   ;ITAGUA              ;UBATUBA             ;  202;505160;VENDA      ;    486,72;00:00;00:00;                 
0001;   202;         ;  ;                    ;         624;S5 - PONTO DE ENCONT;R   CONSTANTE LUCIO DE SOUZA      151   ;ITAGUA              ;UBATUBA             ;  202;505161;VENDA      ;      6,36;00:00;00:00;                 
0001;   202;         ;  ;                    ;        2475;S5 - A PETECA LANCHE;R   Armando de Barros Pereira     85    ;PRAIA GRANDE        ;UBATUBA             ;  202;505370;VENDA      ;    257,99;00:00;00:00;                 
0001;   202;         ;  ;                    ;        2873;QUIOQUE AREIA SEREIA;AV  FRANKLIN TOLEDO PIZZA         648   ;TENORIO             ;UBATUBA             ;  202;505040;VENDA      ;     90,88;00:00;00:00;                 
0001;   202;         ;  ;                    ;        2873;QUIOQUE AREIA SEREIA;AV  FRANKLIN TOLEDO PIZZA         648   ;TENORIO             ;UBATUBA             ;  202;505138;VENDA      ;     15,86;00:00;00:00;                 
0001;   202;         ;  ;                    ;        2873;QUIOQUE AREIA SEREIA;AV  FRANKLIN TOLEDO PIZZA         648   ;TENORIO             ;UBATUBA             ;  202;505041;BONIFICACAO;      2,22;00:00;00:00;                 
0001;   202;         ;  ;                    ;        5279;QUIOSQUE ARCA DE NOE;AV  MARGINAL PRAIA GRANDE         95    ;PRAIA GRANDE        ;UBATUBA             ;  202;505168;VENDA      ;     49,60;00:00;00:00;                 
0001;   202;         ;  ;                    ;        5279;QUIOSQUE ARCA DE NOE;AV  MARGINAL PRAIA GRANDE         95    ;PRAIA GRANDE        ;UBATUBA             ;  202;505169;BONIFICACAO;      4,49;00:00;00:00;                 
0001;   202;         ;  ;                    ;        6829;BAR DO ADILSON      ;R   MARGINAL                      35    ;ITAGUA              ;UBATUBA             ;  202;505248;VENDA      ;    697,47;00:00;00:00;                 
0001;   202;         ;  ;                    ;        8883;CANTINHO DA CLEMILTA;R   MARACANA                      312   ;ESTUFA2             ;UBATUBA             ;  202;505239;VENDA      ;    278,37;00:00;00:00;                 
0001;   202;         ;  ;                    ;        8883;CANTINHO DA CLEMILTA;R   MARACANA                      312   ;ESTUFA2             ;UBATUBA             ;  202;505250;VENDA      ;      6,36;00:00;00:00;                 
0001;   202;         ;  ;                    ;        8883;CANTINHO DA CLEMILTA;R   MARACANA                      312   ;ESTUFA2             ;UBATUBA             ;  202;505241;BONIFICACAO;     11,10;00:00;00:00;                 
0001;   202;         ;  ;                    ;       10021;S5 - BAR DA ESQUINA ;R   CORINTHIANS                   68    ;ESTUFA II           ;UBATUBA             ;  202;505390;VENDA      ;    408,86;00:00;00:00;                 
0001;   202;         ;  ;                    ;       10021;S5 - BAR DA ESQUINA ;R   CORINTHIANS                   68    ;ESTUFA II           ;UBATUBA             ;  202;505391;BONIFICACAO;      2,32;00:00;00:00;                 
0001;   202;         ;  ;                    ;       10868;QUIOSQUE BANZE LANCH;AV  ARMANDO DE B PEREIRA          10    ;PRAIA GRANDE        ;UBATUBA             ;  202;505213;VENDA      ;    344,84;00:00;00:00;                 
0001;   202;         ;  ;                    ;       10868;QUIOSQUE BANZE LANCH;AV  ARMANDO DE B PEREIRA          10    ;PRAIA GRANDE        ;UBATUBA             ;  202;505214;BONIFICACAO;      7,50;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17016;KIOSK FESTA DO SOL  ;R   STELLA                        218   ;TENORIO             ;UBATUBA             ;  202;505220;VENDA      ;    102,88;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17159;S5 - MAR MINAS IMPOR;R   Vereador Benedito da Cunha Bue68    ;ITAGUA              ;UBATUBA             ;  202;505280;VENDA      ;    121,06;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17159;S5 - MAR MINAS IMPOR;R   Vereador Benedito da Cunha Bue68    ;ITAGUA              ;UBATUBA             ;  202;505336;VENDA      ;      6,36;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17159;S5 - MAR MINAS IMPOR;R   Vereador Benedito da Cunha Bue68    ;ITAGUA              ;UBATUBA             ;  202;505281;BONIFICACAO;    134,70;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17364;MRL HOTEIS UBATUBA  ;AV  PROFESSOR CHICO SANTOS        333   ;BARRA DA LAGOA      ;UBATUBA             ;  202;505043;VENDA      ;     36,21;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17580;ADEGA SAO PAULO     ;AV  SAO PAULO                     251   ;ESTUFA 2            ;UBATUBA             ;  202;505044;VENDA      ;     94,19;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17580;ADEGA SAO PAULO     ;AV  SAO PAULO                     251   ;ESTUFA 2            ;UBATUBA             ;  202;505045;VENDA      ;     18,41;00:00;00:00;                 
0001;   202;         ;  ;                    ;       17580;ADEGA SAO PAULO     ;AV  SAO PAULO                     251   ;ESTUFA 2            ;UBATUBA             ;  202;505188;VENDA      ;      6,36;00:00;00:00;                 
0001;   202;         ;  ;                    ;       18265;ADEGA R T           ;R   IRENE                         138   ;ACARAÚ              ;UBATUBA             ;  202;505163;VENDA      ;    342,83;00:00;00:00;                 
0001;   202;         ;  ;                    ;       19226;ADEGA DO LUKINHAS 2 ;R   ARI VIEIRA                    404   ;ESTUFA II           ;UBATUBA             ;  202;505046;VENDA      ;    547,77;00:00;00:00;                 
0001;   202;         ;  ;                    ;       19226;ADEGA DO LUKINHAS 2 ;R   ARI VIEIRA                    404   ;ESTUFA II           ;UBATUBA             ;  202;505263;VENDA      ;      6,36;00:00;00:00;                 
0001;   203;         ;  ;                    ;         500;QUIOSQUE ASA BRANCA ;R   ARMANDO B. PEREIRA 16         16    ;PRAIA GRANDE        ;UBATUBA             ;  203;505148;VENDA      ;    168,34;00:00;00:00;                 
0001;   203;         ;  ;                    ;         507;QUIOS. PEROLA DO MAR;R   ARMANDO B. PEREIRA            23    ;PRAIA GRANDE        ;UBATUBA             ;  203;505317;VENDA      ;    120,00;00:00;00:00;                 
0001;   203;         ;  ;                    ;         510;DECK 26             ;R   ARMANDO B. PEREIRA            26    ;PRAIA GRANDE        ;UBATUBA             ;  203;505131;VENDA      ;    108,46;00:00;00:00;                 
0001;   203;         ;  ;                    ;         523;KIOS.PONTO ENCONTRO ;R   WILLY AURELY                  1232  ;TONINHAS            ;UBATUBA             ;  203;505337;VENDA      ;     79,70;00:00;00:00;                 
0001;   203;         ;  ;                    ;         523;KIOS.PONTO ENCONTRO ;R   WILLY AURELY                  1232  ;TONINHAS            ;UBATUBA             ;  203;505339;BONIFICACAO;      4,60;00:00;00:00;                 
0001;   203;         ;  ;                    ;        3659;ELIZETE             ;R   JULIAO SILVA DA CRUZ          58    ;PEREQUE MIRIM       ;UBATUBA             ;  203;505048;VENDA      ;    182,45;00:00;00:00;                 
0001;   203;         ;  ;                    ;        7378;BAR PICA PAU        ;R   ARMANDO B PEREIRA             645   ;PRAIA GRANDE        ;UBATUBA             ;  203;505152;VENDA      ;    170,58;00:00;00:00;                 
0001;   203;         ;  ;                    ;        7378;BAR PICA PAU        ;R   ARMANDO B PEREIRA             645   ;PRAIA GRANDE        ;UBATUBA             ;  203;505170;VENDA      ;     26,80;00:00;00:00;                 
0001;   203;         ;  ;                    ;        7378;BAR PICA PAU        ;R   ARMANDO B PEREIRA             645   ;PRAIA GRANDE        ;UBATUBA             ;  203;505175;VENDA      ;      7,89;00:00;00:00;                 
0001;   203;         ;  ;                    ;        7433;PONTO CHIKI         ;R   ARMANDO DE BARROS PEREIRA     331   ;PRAIA GRANDE        ;UBATUBA             ;  203;505191;VENDA      ;     52,98;00:00;00:00;                 
0001;   203;         ;  ;                    ;        7437;S5 - QUIOSQUE 5 ESTR;R   ARMANDO DE BARROS PEREIRA     517   ;PRAIA GRANDE        ;UBATUBA             ;  203;505233;VENDA      ;    226,42;00:00;00:00;                 
0001;   203;         ;  ;                    ;       11110;BAR DO CEARA        ;R   LUIZ ANA                      28    ;ENSEADA PEREQUE MIRI;UBATUBA             ;  203;505398;VENDA      ;     84,40;00:00;00:00;                 
0001;   203;         ;  ;                    ;       15827;ADEGA DO LUKINHAS   ;R   MEXICO                        294   ;TONINHAS            ;UBATUBA             ;  203;505322;VENDA      ;    272,66;00:00;00:00;                 
0001;   203;         ;  ;                    ;       16991;BONA ONDA           ;AV  ARMANDO BARROS PEREIRA        795   ;PRAIA GRANDE        ;UBATUBA             ;  203;505122;VENDA      ;     39,32;00:00;00:00;                 
0001;   203;         ;  ;                    ;       17080;S5 - PORTO BAR      ;R   ATLANTICA ESQUINA COM A RUA WI220   ;PRAIA GRANDE        ;UBATUBA             ;  203;505383;VENDA      ;     73,57;00:00;00:00;                 
0001;   203;         ;  ;                    ;       17535;DOUGLAS NUNES       ;EST ESTRADA DO PALHAL             1349  ;PEREQUE MIRIM       ;UBATUBA             ;  203;505335;VENDA      ;    153,23;00:00;00:00;                 
0001;   203;         ;  ;                    ;       17919;BAPE RESTAURANTE    ;AV  ARMANDO DE BARROS PEREIRA     994   ;PRAIA GRANDE        ;UBATUBA             ;  203;505312;VENDA      ;     99,32;00:00;00:00;                 
0001;   203;         ;  ;                    ;       18028;VILA JACAA          ;R   ANALDINA DE JESUS             84    ;ENSEADA             ;UBATUBA             ;  203;505049;VENDA      ;     68,75;00:00;00:00;                 
0001;   203;         ;  ;                    ;       18290;PARADOR 10 BAR      ;R   SANTA MONICA                  5     ;TONINHAS            ;UBATUBA             ;  203;505052;VENDA      ;    140,22;00:00;00:00;                 
0001;   203;         ;  ;                    ;       19179;A B COM. CARNES     ;AV  MARGINAL                      2285  ;PEREQUE MIRIM       ;UBATUBA             ;  203;505053;VENDA      ;     55,84;00:00;00:00;                 
0001;   204;         ;  ;                    ;         471;BREK E PARE         ;AV  GOVERNADOR ABREU SODRE        1162  ;PEREQUE-ACU         ;UBATUBA             ;  204;505279;VENDA      ;    146,05;00:00;00:00;                 
0001;   204;         ;  ;                    ;         482;S5 - RECANTO DO JAPA;R   GOVERNADOR ABREU SODRE        54    ;PEREQUE             ;UBATUBA             ;  204;505167;VENDA      ;    180,90;00:00;00:00;                 
0001;   204;         ;  ;                    ;         495;S5 - KAIAMBA DRINKS ;R   Armando de Barros Pereira     11    ;PRAIA GRANDE        ;UBATUBA             ;  204;505158;VENDA      ;     13,26;00:00;00:00;                 
0001;   204;         ;  ;                    ;         495;S5 - KAIAMBA DRINKS ;R   Armando de Barros Pereira     11    ;PRAIA GRANDE        ;UBATUBA             ;  204;505256;VENDA      ;    483,29;00:00;00:00;                 
0001;   204;         ;  ;                    ;         595;PORTO DI MARE       ;R   DO PEQUENO                    25    ;ENSEADA             ;UBATUBA             ;  204;505293;VENDA      ;    152,56;00:00;00:00;                 
0001;   204;         ;  ;                    ;        3174;PAD PAO DA PRAIA    ;R   MARECHAL PILSUDSKY            30    ;PEREQUE ACU         ;UBATUBA             ;  204;505047;VENDA      ;    239,11;00:00;00:00;                 
0001;   204;         ;  ;                    ;        3174;PAD PAO DA PRAIA    ;R   MARECHAL PILSUDSKY            30    ;PEREQUE ACU         ;UBATUBA             ;  204;505050;BONIFICACAO;     12,96;00:00;00:00;                 
0001;   204;         ;  ;                    ;        3250;S5 - RESTAURANTE ALF;R   Leovigildo Dias Vieira        1032  ;ITAGUA              ;UBATUBA             ;  204;505326;VENDA      ;     66,66;00:00;00:00;                 
0001;   204;         ;  ;                    ;        5013;S5 - RAIZES CHOP. RE;R   Leovigildo Dias Vieira        1280  ;ITAGUA              ;UBATUBA             ;  204;505051;VENDA      ;    550,80;00:00;00:00;                 
0001;   204;         ;  ;                    ;        5013;S5 - RAIZES CHOP. RE;R   Leovigildo Dias Vieira        1280  ;ITAGUA              ;UBATUBA             ;  204;505333;VENDA      ;    145,19;00:00;00:00;                 
0001;   204;         ;  ;                    ;        6176;QUIOSQUE SG         ;R   WILLY AURELY                  1125  ;P.TONINHAS          ;UBATUBA             ;  204;505142;VENDA      ;    182,57;00:00;00:00;                 
0001;   204;         ;  ;                    ;        6176;QUIOSQUE SG         ;R   WILLY AURELY                  1125  ;P.TONINHAS          ;UBATUBA             ;  204;505143;BONIFICACAO;     14,40;00:00;00:00;                 
0001;   204;         ;  ;                    ;        6679;S5 - ESPACO VERAO   ;R   ARMANDO DE BARROS PEREIRA     349   ;PRAIA GRANDE        ;UBATUBA             ;  204;505054;VENDA      ;    245,75;00:00;00:00;                 
0001;   204;         ;  ;                    ;        8819;RECANTO DO BETAO    ;R   TONINHAS                      200   ;TONINHAS            ;UBATUBA             ;  204;505319;VENDA      ;     67,38;00:00;00:00;                 
0001;   204;         ;  ;                    ;        9134;PANTAI KIOSK BAR    ;R   ARMANDO DE BARROS PEREIRA     387   ;PRAIA GRANDE        ;UBATUBA             ;  204;505193;VENDA      ;    133,81;00:00;00:00;                 
0001;   204;         ;  ;                    ;        9134;PANTAI KIOSK BAR    ;R   ARMANDO DE BARROS PEREIRA     387   ;PRAIA GRANDE        ;UBATUBA             ;  204;505194;BONIFICACAO;    259,70;00:00;00:00;                 
0001;   204;         ;  ;                    ;       10850;QUIOSQUE CARUMBE    ;PR  PRAIA DAS TONINHAS            466   ;TONINHAS            ;UBATUBA             ;  204;505387;VENDA      ;     60,78;00:00;00:00;                 
0001;   204;         ;  ;                    ;       11158;VILLA D ALDEA BAR E ;PR  PRAIA ENSEADA                 400   ;ENSEADA PEREQUE MIRI;UBATUBA             ;  204;505298;VENDA      ;     80,90;00:00;00:00;                 
0001;   204;         ;  ;                    ;       11366;QUIOSQUE WILSON     ;R   FRANKLIN DE TOLEDO PIZZA      931   ;PRAIA VERMELHA      ;UBATUBA             ;  204;505055;VENDA      ;     77,70;00:00;00:00;                 
0001;   204;         ;  ;                    ;       12609;JARDIM RESTAURANTE  ;AV  LEOVIGILDO DIAS VIEIRA        262   ;ITAGUA              ;UBATUBA             ;  204;505056;VENDA      ;     64,02;00:00;00:00;                 
0001;   204;         ;  ;                    ;       12614;ZE - ADEGA IMPERIAL ;R   GUAICURUS                     350   ;CENTRO              ;UBATUBA             ;  204;505310;VENDA      ;   1432,18;00:00;00:00;                 
0001;   204;         ;  ;                    ;       13131;REST VARANDA        ;AV  MARGINAL                      900   ;ENSEADA             ;UBATUBA             ;  204;505199;VENDA      ;    389,00;00:00;00:00;                 
0001;   204;         ;  ;                    ;       16128;MERCADO SERRA VERDE ;AV  PADRE MANOEL DA NOBREGA       84    ;PEREQUE ACU         ;UBATUBA             ;  204;505057;VENDA      ;    103,25;00:00;00:00;                 
0001;   204;         ;  ;                    ;       18174;RESTAURANTE SR MARI ;R   GOES                          20    ;ENSEADA             ;UBATUBA             ;  204;505353;VENDA      ;      4,52;00:00;00:00;                 
0001;   204;         ;  ;                    ;       18174;RESTAURANTE SR MARI ;R   GOES                          20    ;ENSEADA             ;UBATUBA             ;  204;505271;VENDA      ;     41,25;00:00;00:00;                 
0001;   204;         ;  ;                    ;       18174;RESTAURANTE SR MARI ;R   GOES                          20    ;ENSEADA             ;UBATUBA             ;  204;505272;BONIFICACAO;      2,40;00:00;00:00;                 
0001;   204;         ;  ;                    ;       18675;SOLAR DE MINAS SOLAR;R   ALCATRAZ                      225   ;PRAIA GRANDE        ;UBATUBA             ;  204;505058;VENDA      ;     53,35;00:00;00:00;                 
0001;   204;         ;  ;                    ;       18686;VRT                 ;R   das Toninhas                  87    ;TONINHAS            ;UBATUBA             ;  204;505242;VENDA      ;    130,90;00:00;00:00;                 
0001;   204;         ;  ;                    ;       19203;HANS STADEN         ;R   Bobo Tomé (Gleba Dois Mares)  805   ;LAZARO PRAIA DOMINGO;UBATUBA             ;  204;505302;VENDA      ;     42,19;00:00;00:00;                 
0001;   204;         ;  ;                    ;       19443;PADARIA DONA NEIA   ;R   FREDERICO CHOPIN              11    ;PEREQUE-ACU         ;UBATUBA             ;  204;505059;VENDA      ;     82,58;00:00;00:00;                 
0001;   204;         ;  ;                    ;       56610;BAR PEREZ           ;R   ANTONIO PEREZ                 295   ;LAZARO              ;UBATUBA             ;  204;505215;VENDA      ;     56,29;00:00;00:00;                 
0001;   204;         ;  ;                    ;       56610;BAR PEREZ           ;R   ANTONIO PEREZ                 295   ;LAZARO              ;UBATUBA             ;  204;505216;BONIFICACAO;     42,89;00:00;00:00;                 
0001;   204;         ;  ;                    ;       56682;REPETECO            ;AV  ATLANTICA                     240   ;PRAIA GRANDE        ;UBATUBA             ;  204;505177;VENDA      ;    108,98;00:00;00:00;                 
0001;   205;         ;  ;                    ;        1746;BOUTIQUE DO PAO     ;R   DR ALDINO SCHIAVI             517   ;MARTIM DE SA        ;CARAGUATATUBA       ;  205;505174;VENDA      ;     70,59;00:00;00:00;                 
0001;   205;         ;  ;                    ;        6852;LANCHONETE REGINALDO;R   PEDRO JANUARIO LEITE          73    ;JARDIM OLARIA       ;CARAGUATATUBA       ;  205;505060;VENDA      ;    319,25;00:00;00:00;                 
0001;   205;         ;  ;                    ;        8068;PADARIA IPIRANGA    ;R   APARECIDA DO NORTE            110   ;SUMARE              ;CARAGUATATUBA       ;  205;505061;VENDA      ;    217,83;00:00;00:00;                 
0001;   205;         ;  ;                    ;        8068;PADARIA IPIRANGA    ;R   APARECIDA DO NORTE            110   ;SUMARE              ;CARAGUATATUBA       ;  205;505063;BONIFICACAO;     30,72;00:00;00:00;                 
0001;   205;         ;  ;                    ;       11613;MERCADINHO VITORIA  ;R   CINCO                         12    ;JARDIM SANTA ROSA   ;CARAGUATATUBA       ;  205;505366;VENDA      ;     77,13;00:00;00:00;                 
0001;   205;         ;  ;                    ;       11947;ESTACAO MASSAGUACU  ;AV  MARIA DE LOURDES DA SILVA KFOU11    ;BALNEARIO COPACABANA;CARAGUATATUBA       ;  205;505065;VENDA      ;     54,10;00:00;00:00;                 
0001;   205;         ;  ;                    ;       17709;DISK AGUA MARTINS DE;AV  IRINEU MENDES DE SOUZA        893   ;MARTIM DE SA        ;CARAGUATATUBA       ;  205;505212;VENDA      ;    218,21;00:00;00:00;                 
0001;   205;         ;  ;                    ;       18578;QUIOSQUE DA CORUJA A;ROD CARAGUA                       S/N   ;MASSAGUACU          ;CARAGUATATUBA       ;  205;505127;VENDA      ;     77,70;00:00;00:00;                 
0001;   205;         ;  ;                    ;       58619;HADASSA MINIZINE    ;R   ITOUE IOCHIMOTO               15    ;GETUBA              ;CARAGUATATUBA       ;  205;505162;VENDA      ;    501,87;00:00;00:00;                 
0001;   206;         ;  ;                    ;         702;PASTELARIA PRAIAMAR ;PC  CANDIDO MOTA                  168   ;CENTRO              ;CARAGUATATUBA       ;  206;505130;VENDA      ;     86,85;00:00;00:00;                 
0001;   206;         ;  ;                    ;         954;NHACK PASTEIS       ;R   ALTINO ARANTES                396   ;CENTRO              ;CARAGUATATUBA       ;  206;505365;VENDA      ;     46,25;00:00;00:00;                 
0001;   206;         ;  ;                    ;        2050;OCEAN S BAR         ;R   SANTA CRUZ                    80    ;CENTRO              ;CARAGUATATUBA       ;  206;505290;VENDA      ;     74,25;00:00;00:00;                 
0001;   206;         ;  ;                    ;        6168;MERCADINHO SUMARE   ;AV  SIQUEIRA CAMPOS               1016  ;SUMARE              ;CARAGUATATUBA       ;  206;505062;VENDA      ;     98,42;00:00;00:00;                 
0001;   206;         ;  ;                    ;        9763;MIKELETTOS BAR      ;R   BONIFACIO DE FREITAS          127   ;CENTRO              ;CARAGUATATUBA       ;  206;505342;VENDA      ;     97,94;00:00;00:00;                 
0001;   206;         ;  ;                    ;       17729;S5 - BAR DO HELIO   ;AV  PRESIDENTE CASTELO BRANCO     207   ;BALNEARIO FOREST    ;CARAGUATATUBA       ;  206;505064;VENDA      ;     73,71;00:00;00:00;                 
0001;   206;         ;  ;                    ;       19672;ANTONIO DOS SANTOS  ;R   INACIO BATISTA DE FARIA       1725  ;BALNEARIO MAR AZUL  ;CARAGUATATUBA       ;  206;505225;VENDA      ;    388,50;00:00;00:00;                 
0001;   206;         ;  ;                    ;       19672;ANTONIO DOS SANTOS  ;R   INACIO BATISTA DE FARIA       1725  ;BALNEARIO MAR AZUL  ;CARAGUATATUBA       ;  206;505386;VENDA      ;     17,45;00:00;00:00;                 
0001;   207;         ;  ;                    ;         254;S5 - QUIOSQUE PRAINH;R   T                             90    ;PRAINHA             ;CARAGUATATUBA       ;  207;505118;VENDA      ;    245,09;00:00;00:00;                 
0001;   207;         ;  ;                    ;        6592;QUIOSQUE DOM QUIXOTE;AV  ARTHUR COSTA FILHO            22    ;CENTRO              ;CARAGUATATUBA       ;  207;505134;VENDA      ;    132,52;00:00;00:00;                 
0001;   207;         ;  ;                    ;        6747;CHAPINHA            ;AV  ARTHUR COSTA FILHO            2251  ;SUMARE              ;CARAGUATATUBA       ;  207;505338;VENDA      ;    566,30;00:00;00:00;                 
0001;   207;         ;  ;                    ;        7727;QUIOSQUE DA JOANA   ;AV  ARTHUR COSTA FILHO            2280  ;CENTRO              ;CARAGUATATUBA       ;  207;505186;VENDA      ;    461,03;00:00;00:00;                 
0001;   207;         ;  ;                    ;        7727;QUIOSQUE DA JOANA   ;AV  ARTHUR COSTA FILHO            2280  ;CENTRO              ;CARAGUATATUBA       ;  207;505187;BONIFICACAO;    111,20;00:00;00:00;                 
0001;   207;         ;  ;                    ;        8402;QUIOSQUE PONTO 6    ;AV  DOUTOR ALDINO SCHIAVE         1206  ;MARTIM DE SA        ;CARAGUATATUBA       ;  207;505200;VENDA      ;    761,48;00:00;00:00;                 
0001;   207;         ;  ;                    ;        9778;CARAGUA ROCK BAR    ;R   DOUTOR PAUL HARRIS            60    ;CENTRO              ;CARAGUATATUBA       ;  207;505066;VENDA      ;     51,47;00:00;00:00;                 
0001;   207;         ;  ;                    ;        9778;CARAGUA ROCK BAR    ;R   DOUTOR PAUL HARRIS            60    ;CENTRO              ;CARAGUATATUBA       ;  207;505201;VENDA      ;     27,30;00:00;00:00;                 
0001;   207;         ;  ;                    ;       10687;SURFS               ;AV  ANCHIETA                      931   ;CENTRO              ;CARAGUATATUBA       ;  207;505067;VENDA      ;    654,23;00:00;00:00;                 
0001;   207;         ;  ;                    ;       10728;REST CANTO DO MAR   ;AV  FIORAVANTE PASCHOALIM         102   ;MARTIM DE SA        ;CARAGUATATUBA       ;  207;505327;VENDA      ;     64,76;00:00;00:00;                 
